date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:52	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-brands-400.ttf	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-brands-400.ttf	(from https://viniciusbinti.com/assets/all.css)
14:47:52	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-brands-400.svg	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-brands-400.svg	(from https://viniciusbinti.com/assets/all.css)
14:47:52	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-regular-400.eot	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-regular-400.eot	(from https://viniciusbinti.com/assets/all.css)
14:47:53	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-regular-400.eot?	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-regular-400d41d.eot	(from https://viniciusbinti.com/assets/all.css)
14:47:53	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-regular-400.woff2	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-regular-400.woff2	(from https://viniciusbinti.com/assets/all.css)
14:47:53	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-regular-400.woff	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-regular-400.woff	(from https://viniciusbinti.com/assets/all.css)
14:47:53	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-regular-400.ttf	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-regular-400.ttf	(from https://viniciusbinti.com/assets/all.css)
14:47:53	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-regular-400.svg	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-regular-400.svg	(from https://viniciusbinti.com/assets/all.css)
14:47:54	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-solid-900.eot	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-solid-900.eot	(from https://viniciusbinti.com/assets/all.css)
14:47:54	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-solid-900.eot?	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-solid-900d41d.eot	(from https://viniciusbinti.com/assets/all.css)
14:47:54	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-solid-900.woff2	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-solid-900.woff2	(from https://viniciusbinti.com/assets/all.css)
14:47:54	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-solid-900.woff	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-solid-900.woff	(from https://viniciusbinti.com/assets/all.css)
14:47:55	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-solid-900.ttf	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-solid-900.ttf	(from https://viniciusbinti.com/assets/all.css)
14:47:55	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/webfonts/fa-solid-900.svg	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/webfonts/fa-solid-900.svg	(from https://viniciusbinti.com/assets/all.css)
14:47:55	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Mar%202020%2017:20:25%20GMT	https://viniciusbinti.com/POST	C:/Users/RafaeL/Desktop/SiteRafael/metodotita/viniciusbinti.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
